Test Case ID,Requirement Ref,Test Type,Test Level,Title,Pre-condition,Test Case Description,Step No,Test Step Description,Post-condition,Input Data,Expected result,Remarks,Testing methods
CONTACT-002,Contact Form,Functional,System Integration Test,Duplicate contact prevented,Contact already exists for email,Verify API rejects duplicate email requests,1,POST same email again,Single record only,"{""name"":""Jane"",""email"":""jane@test.com"",""message"":""Again""}","400 + error ""A request already existed...""",Negative,ECP (Equivalence Class Partitioning)
MER-001,Merchant Onboarding,Functional,System Integration Test,Submit merchant application,—,Verify POST /api/merchant/add persists application,1,"POST {name,business,phoneNumber,email,brandName}",Merchant status Waiting_Approval; isActive=false,"{""name"":""Shop"",""business"":""Electronics"",""phoneNumber"":""123"",""email"":""merchant@test.com"",""brandName"":""BrandX""}",200 + thank you message,Happy,ECP (Equivalence Class Partitioning)
MER-002,Merchant Onboarding,Validation,System Integration Test,Missing business description rejected,—,Verify /api/merchant/add requires business field,1,POST payload missing business,Request fails,"{""name"":""Shop"",""phoneNumber"":""123"",""email"":""merchant@test.com""}","400 + error ""You must enter a business description.""",Validation,BVA (Boundary Value Analysis)
MER-003,Merchant Admin,Security,System Integration Test,Admin listing merchants requires role,Member token,Verify GET /api/merchant (paginated) rejects non-admin,1,GET /api/merchant?page=1 without admin role,Request denied,member token,403 from role.check,RBAC,Security (RBAC/Authorization)
MER-004,Merchant Admin,Functional,System Integration Test,Approve merchant auto-creates user,Merchant Waiting_Approval exists; admin logged-in,"Verify PUT /api/merchant/approve/:id sets status Approved, creates user, sends mail",1,PUT approve with admin token,Merchant active true; email triggered,—,200 success true,State transition,State-based
MER-005,Merchant Admin,Functional,System Integration Test,Reject merchant sets status,Admin logged in,Verify PUT /api/merchant/reject/:id marks status Rejected,1,PUT reject,Status updated; brand deactivated stays pending,—,200 success true,State change,State-based
MER-006,Merchant Admin,Security,System Integration Test,Deactivate merchant disables brand,Merchant active with brand,Verify PUT /api/merchant/:id/active false triggers deactivateBrand,1,PUT body {merchant:{isActive:false}},Brand products disabled + email sent,"{""merchant"":{""isActive"":false}}",200 success true,Integrity,State-based
BRAND-001,Brand Management,Functional,System Integration Test,Create brand,Admin logged in,Verify POST /api/brand/add requires name/description,1,"POST {name,description,isActive:true}",Brand persisted,"{""name"":""BrandX"",""description"":""Phones"",""isActive"":true}",200 + brand object,Happy,ECP (Equivalence Class Partitioning)
BRAND-002,Brand Management,Functional,System Integration Test,List public brands,At least one active brand,Verify GET /api/brand/list returns only active brands,1,GET /api/brand/list,List cached UI,—,200 + brands[] with merchant name,Happy,State-based
BRAND-003,Brand Management,Security,System Integration Test,Merchant brand filter,Merchant token,Verify GET /api/brand returns only merchant-owned brands,1,GET /api/brand/ with merchant user,Response limited to merchant brand,token,200 + brands array size 1,RBAC,Security (RBAC/Authorization)
BRAND-004,Brand Management,Functional,System Integration Test,Unique slug enforced on update,Two brands exist,Verify PUT /api/brand/:id fails when slug duplicates other brand,1,PUT brand with slug belonging to another brand,No change,"{""brand"":{""slug"":""existing""}}","400 + error ""Slug is already in use.""",Validation,BVA (Boundary Value Analysis)
BRAND-005,Brand Management,Security,System Integration Test,Deactivate brand turns off products,Brand with active products,Verify PUT /api/brand/:id/active false triggers store.disableProducts,1,PUT brand active=false as admin,Associated product.isActive=false,"{""brand"":{""isActive"":false}}",200 success true,Integrity,State-based
CAT-001,Category Management,Functional,System Integration Test,Add category,Admin token,Verify POST /api/category/add works with name/description,1,"POST {name,description,isActive:true}",Category saved,"{""name"":""Phones"",""description"":""Mobile"",""isActive"":true}",200 success message,Happy,ECP (Equivalence Class Partitioning)
CAT-002,Category Management,Functional,System Integration Test,Public category list,Active categories exist,Verify GET /api/category/list returns only isActive=true,1,GET /api/category/list,Used for nav,—,200 + categories array,Happy,State-based
CAT-003,Category Management,Functional,System Integration Test,Get category details,Category exists,Verify GET /api/category/:id returns category with products,1,GET /api/category/<id>,Category details displayed,id,200 + category object; 404 when not found,Happy/Negative,ECP (Equivalence Class Partitioning)
CAT-004,Category Management,Functional,System Integration Test,Update category slug unique,Admin token,Verify PUT /api/category/:id enforces slug uniqueness,1,PUT slug duplicate,Request rejected,"{""category"":{""slug"":""phones""}}",400 + error Slug is already in use,Validation,BVA (Boundary Value Analysis)
CAT-005,Category Management,Security,System Integration Test,Deactivating category disables products,Category active with products,Verify PUT /api/category/:id/active false disables linked products,1,PUT {category:{isActive:false}},Products toggled inactive,"{""category"":{""isActive"":false}}",200 success message,Integrity,State-based
PROD-PUB-001,Product Browsing,Functional,System Integration Test,Fetch product by slug,Product active with active brand exists,Verify GET /api/product/item/:slug returns product and hides inactive brands,1,GET /api/product/item/<slug>,Product displayed,slug=my-phone,200 + product object; 404 if brand inactive,Happy/Negative,State-based
PROD-PUB-002,Product Browsing,Functional,System Integration Test,Typeahead search by name,Active products exist,Verify GET /api/product/list/search/:name returns partial matches,1,GET search/iph,Autocomplete options shown,name=iph,"200 + array of {name,slug,price}",Happy,ECP (Equivalence Class Partitioning)
PROD-PUB-003,Product Browsing,Functional,System Integration Test,Filter + paginate store listing,Products existing across categories/brands,"Verify GET /api/product/list handles sortOrder JSON, min/max, brand slug, page, limit",1,"GET /api/product/list?brand=apple&min=100&max=1000&page=2&limit=8&sortOrder={""price"":-1}",Page metadata computed,query params,"200 + products[], totalPages, currentPage, count",Paging,State-based
PROD-PUB-004,Product Browsing,Functional,System Integration Test,Featured products respects limit,Featured products flagged,Verify GET /api/product/featured?limit=4 returns up to limit items,1,Call endpoint,Home carousel data ready,limit=4,200 + <=4 products,Happy,BVA (Boundary Value Analysis)
PROD-PUB-005,Product Browsing,Security,System Integration Test,Wishlist overlay info for logged user,User logged in,Verify GET /api/product/list attaches wishlist info when user token present,1,Call list endpoint with Authorization header,Each product contains wishList boolean,token,products include wishList/isLiked flags,Personalization,State-based
PROD-PUB-006,Product Browsing,Functional,System Integration Test,404 when category slug invalid,None,Verify GET /api/product/list?category=unknown returns empty list,1,Call with invalid slug,No items,category=unknown,"200 + products=[] + totalPages=0, count=0",Negative,ECP (Equivalence Class Partitioning)
PROD-ADM-001,Product Admin,Functional,System Integration Test,Create product with image upload,Admin token; brand id exists,Verify POST /api/product/add accepts multipart fields + image,1,"Send multipart form {sku,name,price,quantity,brand,isFeatured,...}+file image",Product saved; S3 upload done,multipart/form-data,200 success message + product,Happy,ECP (Equivalence Class Partitioning)
PROD-ADM-002,Product Admin,Validation,System Integration Test,SKU required,Admin token,Verify POST /api/product/add without sku returns 400,1,Submit missing sku,No product created,fields except sku,"400 + error ""You must enter sku.""",Validation,BVA (Boundary Value Analysis)
PROD-ADM-003,Product Admin,Security,System Integration Test,Merchant sees own products only,Merchant user with merchant id,Verify GET /api/product/ (admin route) returns filtered list,1,GET /api/product/ using merchant token,Only merchant brand products returned,token,200 + filtered products,RBAC,Security (RBAC/Authorization)
PROD-ADM-004,Product Admin,Functional,System Integration Test,Update product handles isFeatured flag,Product exists,Verify PUT /api/product/:id normalises isFeatured string/boolean,1,"PUT {product:{isFeatured:""1""}}",isFeatured stored boolean true,"{""product"":{""isFeatured"":""1""}}",200 success message,Data normalisation,State-based
PROD-ADM-005,Product Admin,Functional,System Integration Test,Toggle active state,Admin token,Verify PUT /api/product/:id/active updates status,1,PUT {product:{isActive:false}},Product hidden in storefront,"{""product"":{""isActive"":false}}",200 success,State change,State-based
PROD-ADM-006,Product Admin,Functional,System Integration Test,Delete product,Product id exists,Verify DELETE /api/product/delete/:id removes product,1,DELETE route with admin token,Product removed from DB,id,200 success message,State change,ECP (Equivalence Class Partitioning)
PROD-ADM-007,Product Admin,Security,System Integration Test,Slug/SKU uniqueness on update,Another product uses same slug,Verify PUT /api/product/:id rejects duplicate slug or sku,1,"PUT {product:{slug:""taken"",sku:""taken""}}",Original product unchanged,payload with duplicates,"400 + error ""Sku or slug is already in use.""",Validation,BVA (Boundary Value Analysis)
CART-001,Cart,Functional,System Integration Test,Create cart with items,User logged in; stock available,Verify POST /api/cart/add accepts products array and stores tax,1,"POST {products:[{product:<id>,quantity:2,price:100}]}",Cart created; product quantity decreased,products array,200 + cartId,Happy,State-based
CART-002,Cart,Security,System Integration Test,Admin blocked from creating carts,Admin token,Verify ensurePurchaser prohibits admin,1,POST /api/cart/add as admin,Request denied,token role=Admin,403 error from ensurePurchaser,RBAC,Security (RBAC/Authorization)
CART-003,Cart,Functional,System Integration Test,Append product to existing cart,Cart exists,Verify POST /api/cart/add/:cartId pushes product entry,1,POST product payload,Cart updated,"{product:{product:<id>,quantity:1}}",200 success true,State update,State-based
CART-004,Cart,Functional,System Integration Test,Remove product from cart,Cart contains product,Verify DELETE /api/cart/delete/:cartId/:productId removes entry,1,DELETE call as owner,Cart updated,ids,200 success true,State update,ECP (Equivalence Class Partitioning)
CART-005,Cart,Functional,System Integration Test,Delete cart,Cart exists,Verify DELETE /api/cart/delete/:cartId removes cart document,1,DELETE route,Cart removed,cartId,200 success true,Cleanup,State-based
WISHLIST-001,Wishlist,Functional,System Integration Test,Add product to wishlist,Member logged in,Verify POST /api/wishlist toggles isLiked flag,1,"POST {product:<id>,isLiked:true}",Wishlist entry exists,payload,200 success message,Happy,ECP (Equivalence Class Partitioning)
WISHLIST-002,Wishlist,Security,System Integration Test,Admin cannot manage wishlist,Admin token,Verify ensureMember denies admin accounts,1,POST /api/wishlist as admin,Error response,token role=Admin,"403 error ""Store management accounts do not have a wishlist.""",RBAC,Security (RBAC/Authorization)
WISHLIST-003,Wishlist,Functional,System Integration Test,List wishlist items,Wishlist data exists,Verify GET /api/wishlist returns liked products with ensured image,1,GET endpoint,Data displayed,token,200 + wishlist array,Happy,State-based
WISHLIST-004,Wishlist,Functional,System Integration Test,Toggle wishlist entry off,Wishlist item exists,Verify POST /api/wishlist with isLiked=false updates entry,1,POST payload,isLiked false; GET excludes,"{""product"":""id"",""isLiked"":false}",200 success updates message,State change,State-based
REVIEW-001,Reviews,Functional,System Integration Test,Submit review for delivered order,User purchased product and status Delivered/Completed,Verify POST /api/review/add requires delivered cart entry,1,"POST {product:<id>,rating,comment}",Review saved status Approved,payload,200 success message,Happy,State-based
REVIEW-002,Reviews,Security,System Integration Test,Reject review when order not delivered,User has open order,Verify route returns 403 if no delivered cart,1,POST review before delivery,No review created,payload,"403 error ""You can only review items that have been delivered.""",Security,State-based
REVIEW-003,Reviews,Functional,System Integration Test,List reviews paginated,Reviews exist,Verify GET /api/review?page=1&limit=10 returns reviews with product images,1,GET endpoint,Data available for admin,query params,"200 + reviews, totalPages, count",Happy,State-based
REVIEW-004,Reviews,Functional,System Integration Test,Public product reviews by slug,Approved reviews exist,Verify GET /api/review/:slug returns approved reviews only,1,GET slug,Displayed on PDP,slug,200 + reviews[],Happy,ECP (Equivalence Class Partitioning)
ORDER-001,Checkout,Functional,System Integration Test,Place order COD with saved address,Cart exists; saved address belongs to user; token member,Verify POST /api/order/add using selectedAddressId populates shipping,1,"POST body {cartId,total,paymentMethod:""COD"",selectedAddressId,useNewAddress:false}","Order saved, mailgun confirmation sent",payload,200 success + order id,Happy,State-based
ORDER-002,Checkout,Functional,System Integration Test,Place order with new address,Cart exists,Verify POST /api/order/add useNewAddress true requires address fields,1,POST with shippingAddress object,Shipping saved isAlternate true,"{""cartId"":""c1"",""total"":99,""paymentMethod"":""ONLINE"",""useNewAddress"":true,""shippingAddress"":{""fullName"":""Jane"",""phoneNumber"":""123"",""address"":""1 road"",""city"":""NY"",""country"":""US""}}",200 success message,Happy,ECP (Equivalence Class Partitioning)
ORDER-003,Checkout,Validation,System Integration Test,Missing cart rejected,Member token,Verify POST /api/order/add without cartId returns error,1,POST missing cart,Order not created,"{""total"":99}","400 + error ""Missing cart reference""",Validation,BVA (Boundary Value Analysis)
ORDER-004,Checkout,Validation,System Integration Test,Missing shipping phone or address rejected,"Member token, new address path",Verify server enforces required shipping fields,1,POST shippingAddress missing phoneNumber,No order,"{""cartId"":""c1"",""total"":99,""paymentMethod"":""COD"",""useNewAddress"":true,""shippingAddress"":{""address"":"""",""city"":""NY""}}",400 + error about shipping info,Validation,BVA (Boundary Value Analysis)
ORDER-005,Checkout,Security,System Integration Test,Admin cannot place customer orders,Admin token,Verify POST /api/order/add returns 403 for admin user,1,POST as admin,No order created,Authorization header,403 error message about management accounts,RBAC,Security (RBAC/Authorization)
ORDER-006,Order History,Functional,System Integration Test,Search order by id,Order exists,Verify GET /api/order/search?search=<id> returns results for owner/admin only,1,GET search as owner,Order retrieved,search Mongo id,200 + orders[] when id valid else [],Happy,State-based
ORDER-007,Order History,Functional,System Integration Test,Get my orders list,Member logged in,Verify GET /api/order/me paginates user orders,1,GET /api/order/me?page=1,Orders displayed,page=1,200 + orders array + totalPages,Happy,State-based
ORDER-008,Order Management,Security,System Integration Test,Prevent viewing someone else order,Order belongs to another user,Verify GET /api/order/:orderId returns 404/403 when user not owner/admin,1,GET order detail with other user token,No data leakage,orderId,404 error message,Security,Security (RBAC/Authorization)
ORDER-009,Order Management,Functional,System Integration Test,Admin list all orders,Admin token,Verify GET /api/order/ returns global list with filters,1,GET /api/order/?page=1,Orders data for admin dashboard,"page,limit",200 + orders[] + count,Happy,State-based
ORDER-010,Checkout,Security,System Integration Test,Ensure cart exists when placing order,cartId invalid / deleted,Verify order creation fails when cart not found,1,POST order with invalid cartId,No order saved,"cartId=""deadbeef""","404 error ""Your cart could not be found""",Negative,ECP (Equivalence Class Partitioning)
DASH-001,Dashboard,Functional,System Integration Test,Admin dashboard summary aggregates,Admin token; orders exist,Verify GET /api/dashboard/summary returns KPIs,1,GET summary as admin,Dashboard cards show revenue/orders/customers/products,token,200 + summary + recentOrders + topProducts arrays,Happy,State-based
DASH-002,Dashboard,Security,System Integration Test,Summary requires admin role,Member token,Verify GET /api/dashboard/summary returns 403 for non-admin,1,GET summary with member token,Request denied,token role=Member,403 error,RBAC,Security (RBAC/Authorization)
